Title,Link,Grade,Contact,Points,Description,Cost,Type,Standards Connections,Tracks
"Center for Great Lakes Literacy Curriculum ","http://www.cgll.org/curriculum/","PreK-12",,"10/lesson","The CGLL website has dozens of searchable curricular resources all about the Great Lakes.",,"Curriculum","Each lesson plan is connected to NGSS, Common Core and Great Lakes Literacy Principles","Lakes, Watersheds, Water Cycle & Quality"
"Climate Wisconsin","https://climatewisconsin.org/","6-12",,"10/video","From warming trout streams to decreasing ice cover, lower lake levels to extreme heat, Climate Wisconsin tells stories from a rapidly changing state.  Each of the short videos is accompanied by additional research and ideas for further learning.",,"Classroom Presentation",,"Lakes, Rivers"
"Fowl Into Water","https://www.gscm.refloh2o.com/s/WWL_Birds_LP.pdf","PreK-2",,"10","Lesson plans and a reading list to learn about what makes birds unique and to learn about birds that live on or near water.",,"Curriculum",,
"Freshwater Tool Kit","https://www.gscm.refloh2o.com/s/Freshwater-Tool-Kit-Flyer-V8.pdf","PreK-12","Kae Donlevy at [WATERSMEET.MKE@gmail.com](mailto:WATERSMEET.MKE@GMAIL.COM)","varies","The Freshwater Tool Kit is designed to connect Milwaukee-area educators with activities and organizations to help teach the foundational knowledge of water resources. We believe that learners with a strong understanding of water basics will become more engaged when they learn about in-depth water resource concepts and issues such as assessing, managing and protecting our water resources, and be more motivated to find solutions to protecting our waters. The Tool Kit contains lesson plans, classroom presentations and field trip opportunities. Contact [Kae DonLevy](mailto:WATERSMEET.MKE@gmail.com ) or visit [http://www.freshwatertoolkit.org/](http://www.freshwatertoolkit.org/) for more information!",,"Curriculum",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Freshwater Tool Kit","https://www.gscm.refloh2o.com/s/Freshwater-Tool-Kit-Flyer-V8.pdf","PreK-12","Kae Donlevy at [WATERSMEET.MKE@gmail.com](mailto:WATERSMEET.MKE@GMAIL.COM)","varies","The Freshwater Tool Kit is designed to connect Milwaukee-area educators with activities and organizations to help teach the foundational knowledge of water resources. We believe that learners with a strong understanding of water basics will become more engaged when they learn about in-depth water resource concepts and issues such as assessing, managing and protecting our water resources, and be more motivated to find solutions to protecting our waters. The Tool Kit contains lesson plans, classroom presentations and field trip opportunities. Contact [Kae DonLevy](mailto:WATERSMEET.MKE@gmail.com) or visit [http://www.freshwatertoolkit.org/](http://www.freshwatertoolkit.org/) for more information!",,"Field Trip",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Freshwater Tool Kit","https://www.gscm.refloh2o.com/s/Freshwater-Tool-Kit-Flyer-V8.pdf","PreK-12","Kae Donlevy at [WATERSMEET.MKE@gmail.com](mailto:WATERSMEET.MKE@GMAIL.COM)","varies","The Freshwater Tool Kit is designed to connect Milwaukee-area educators with activities and organizations to help teach the foundational knowledge of water resources. We believe that learners with a strong understanding of water basics will become more engaged when they learn about in-depth water resource concepts and issues such as assessing, managing and protecting our water resources, and be more motivated to find solutions to protecting our waters. The Tool Kit contains lesson plans, classroom presentations and field trip opportunities. Contact [Kae DonLevy](mailto:WATERSMEET.MKE@gmail.com) or visit [http://www.freshwatertoolkit.org/](http://www.freshwatertoolkit.org/) for more information!",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Freshwater Tool Kit","https://www.gscm.refloh2o.com/s/Freshwater-Tool-Kit-Flyer-V8.pdf","PreK-12","Kae Donlevy at [WATERSMEET.MKE@gmail.com](mailto:WATERSMEET.MKE@GMAIL.COM)","varies","The Freshwater Tool Kit is designed to connect Milwaukee-area educators with activities and organizations to help teach the foundational knowledge of water resources. We believe that learners with a strong understanding of water basics will become more engaged when they learn about in-depth water resource concepts and issues such as assessing, managing and protecting our water resources, and be more motivated to find solutions to protecting our waters. The Tool Kit contains lesson plans, classroom presentations and field trip opportunities. Contact [Kae DonLevy](mailto:WATERSMEET.MKE@gmail.com ) or visit [http://www.freshwatertoolkit.org/](http://www.freshwatertoolkit.org/) for more information!",,"Curriculum",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Freshwater Tool Kit","https://www.gscm.refloh2o.com/s/Freshwater-Tool-Kit-Flyer-V8.pdf","PreK-12","Kae Donlevy at [WATERSMEET.MKE@gmail.com](mailto:WATERSMEET.MKE@GMAIL.COM)","varies","The Freshwater Tool Kit is designed to connect Milwaukee-area educators with activities and organizations to help teach the foundational knowledge of water resources. We believe that learners with a strong understanding of water basics will become more engaged when they learn about in-depth water resource concepts and issues such as assessing, managing and protecting our water resources, and be more motivated to find solutions to protecting our waters. The Tool Kit contains lesson plans, classroom presentations and field trip opportunities. Contact [Kae DonLevy](mailto:WATERSMEET.MKE@gmail.com) or visit [http://www.freshwatertoolkit.org/](http://www.freshwatertoolkit.org/) for more information!",,"Field Trip",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Freshwater Tool Kit","https://www.gscm.refloh2o.com/s/Freshwater-Tool-Kit-Flyer-V8.pdf","PreK-12","Kae Donlevy at [WATERSMEET.MKE@gmail.com](mailto:WATERSMEET.MKE@GMAIL.COM)","varies","The Freshwater Tool Kit is designed to connect Milwaukee-area educators with activities and organizations to help teach the foundational knowledge of water resources. We believe that learners with a strong understanding of water basics will become more engaged when they learn about in-depth water resource concepts and issues such as assessing, managing and protecting our water resources, and be more motivated to find solutions to protecting our waters. The Tool Kit contains lesson plans, classroom presentations and field trip opportunities. Contact [Kae DonLevy](mailto:WATERSMEET.MKE@gmail.com) or visit [http://www.freshwatertoolkit.org/](http://www.freshwatertoolkit.org/) for more information!",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Great Lakes Lessons","https://www.michiganseagrant.org/lessons/lessons/all-lessons/","4-12",,"10/lesson","Teaching Great Lakes Science is your source for science, technology, engineering and math! This website features a suite of lessons, activities and data sets focused on the Great Lakes. Any of these resources may be easily incorporated into formal and informal educational settings. All the lessons, activities, teacher tools and data sets are free and targeted for 4-12th grades. Visit [https://www.michiganseagrant.org/lessons/](https://www.michiganseagrant.org/lessons/) to explore lessons, data sets and other teacher resources related to the Great Lakes!",,"Curriculum","Each lesson plan is aligned with NGSS","Lakes, Watersheds, Water Cycle & Quality"
"Great Lakes Lessons","https://www.michiganseagrant.org/lessons/lessons/all-lessons/","4-12",,"10/lesson","Teaching Great Lakes Science is your source for science, technology, engineering and math! This website features a suite of lessons, activities and data sets focused on the Great Lakes. Any of these resources may be easily incorporated into formal and informal educational settings. All the lessons, activities, teacher tools and data sets are free and targeted for 4-12th grades. Visit [https://www.michiganseagrant.org/lessons/](https://www.michiganseagrant.org/lessons/) to explore lessons, data sets and other teacher resources related to the Great Lakes!",,"Curriculum","Each lesson plan is aligned with NGSS","Lakes, Watersheds, Water Cycle & Quality"
"Green & Healthy Schools Wisconsin","http://eeinwisconsin.org/Files/eewi/2019/WA1632-9326.pdf","PreK-12",,"200/level","Green & Healthy Schools Wisconsin provides recognition for PreK-12 public and private schools working to reduce environmental impact and costs, improve health and wellness, and increase environmental and sustainability literacy through a self-paced, voluntary, web-based application. Sign up or learn more about the program at [here](http://eeinwisconsin.org/net/org/info.aspx?s=110993.0.0.2209).",,"School Initiative",,"Conservation, Water Cycle & Quality"
"Lake Sturgeon Bowl","https://uwm.edu/freshwater/community-outreach/sturgeon-bowl/","9-12","[Liz Sutton](mailto:emsutton@uwm.edu?subject=EcoLiteracy Challenge)","100/team","Lake Sturgeon Bowl, the first Saturday in February, is a regional competition of the National Ocean Sciences Bowl (NOSB)—a round robin, double-elimination academic tournament for teams of five high school students who are interested in broadening their understanding of the oceans and Great Lakes.",,"Field Trip",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Mapping Lake Michigan","https://www.gscm.refloh2o.com/s/KDI-Lesson-Offerings-Reflo.pdf","3-8","[Darius Jordan](mailto:djordan@discoveryworld.org?subject=EcoLiteracy Challenge)","20/class","Explore what lies beneath the surface of Lake Michigan by investigating the development and use of bathymetric maps. Students will discover how technology helps fishermen find fish and historians find shipwrecks in creating a project inspired by the lake. Visit [https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/](https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/) for more details.","free for qualifying schools","Classroom Presentation",,"Lakes"
"Mapping Lake Michigan","https://www.gscm.refloh2o.com/s/KDI-Lesson-Offerings-Reflo.pdf","3-8","[Darius Jordan](mailto:djordan@discoveryworld.org?subject=EcoLiteracy Challenge)","20/class","Explore what lies beneath the surface of Lake Michigan by investigating the development and use of bathymetric maps. Students will discover how technology helps fishermen find fish and historians find shipwrecks in creating a project inspired by the lake. Visit [https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/](https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/) for more details.","free for qualifying schools","Classroom Presentation",,"Lakes"
"Milwaukee Community Map","http://refloh2o.com/milwaukee-community-map/","5-12","[Michael Timm](mailto:michaelalantimm@yahoo.com?subject=Ecoliteracy Challenge), Milwaukee Water Stories Program Manager","10/activity","The Milwaukee Community Map is a free interactive map using Google Earth to share, explore, and create Milwaukee’s community water stories. The map hosts Water Stories, featuring local groups making a difference in our city’s collective water story; Basemaps, featuring geographic areas like watersheds, the sewer service area, and historic waterways; and Deeper Dives, featuring animated thematic tours. Check back soon for suggested curricular and topical themes that intersect with the Milwaukee Community Map!",,"Curriculum",,"Rivers, Watersheds, Stormwater & Green Infrastructure"
"Milwaukee Community Map","http://refloh2o.com/milwaukee-community-map/","5-12","[Michael Timm](mailto:michaelalantimm@yahoo.com?subject=Ecoliteracy%20Challenge), Milwaukee Water Stories Program Manager","10/activity","The Milwaukee Community Map is a free interactive map using Google Earth to share, explore, and create Milwaukee’s community water stories. The map hosts Water Stories, featuring local groups making a difference in our city’s collective water story; Basemaps, featuring geographic areas like watersheds, the sewer service area, and historic waterways; and Deeper Dives, featuring animated thematic tours. Check back soon for suggested curricular and topical themes that intersect with the Milwaukee Community Map!",,"Classroom Presentation",,"Rivers, Watersheds, Stormwater & Green Infrastructure"
"Milwaukee Community Map","http://refloh2o.com/milwaukee-community-map/","5-12","[Michael Timm](mailto:michaelalantimm@yahoo.com?subject=Ecoliteracy%20Challenge), Milwaukee Water Stories Program Manager","10/activity","The Milwaukee Community Map is a free interactive map using Google Earth to share, explore, and create Milwaukee’s community water stories. The map hosts Water Stories, featuring local groups making a difference in our city’s collective water story; Basemaps, featuring geographic areas like watersheds, the sewer service area, and historic waterways; and Deeper Dives, featuring animated thematic tours. Check back soon for suggested curricular and topical themes that intersect with the Milwaukee Community Map!",,"Curriculum",,"Rivers, Watersheds, Stormwater & Green Infrastructure"
"Milwaukee Community Map","http://refloh2o.com/milwaukee-community-map/","5-12","[Michael Timm](mailto:michaelalantimm@yahoo.com?subject=Ecoliteracy%20Challenge), Milwaukee Water Stories Program Manager","10/activity","The Milwaukee Community Map is a free interactive map using Google Earth to share, explore, and create Milwaukee’s community water stories. The map hosts Water Stories, featuring local groups making a difference in our city’s collective water story; Basemaps, featuring geographic areas like watersheds, the sewer service area, and historic waterways; and Deeper Dives, featuring animated thematic tours. Check back soon for suggested curricular and topical themes that intersect with the Milwaukee Community Map!",,"Classroom Presentation",,"Rivers, Watersheds, Stormwater & Green Infrastructure"
"Milwaukee Story Mapper","http://refloh2o.com/mcm-faq","7-12","[Michael Timm](mailto:michaelalantimm@yahoo.com?subject=Ecoliteracy%20Challenge), Milwaukee Water Stories Program Manager","50/story","A companion to the Milwaukee Community Map curated by the nonprofit Reflo – Sustainable Water Solutions, the free [Milwaukee Story Mapper](https://maps.refloh2o.com/Placemarks/Layouts) gives anyone the tools to create their own story map in Google Earth. The Milwaukee Story Mapper allows users to upload photos, edit text, and arrange geo-positioned placemarks that open in Google Earth. Student projects documenting research or field experiences using this tool can be combined with the Milwaukee Community Map. [Click here](mailto:michaelalantimm@yahoo.com?subject=Ecoliteracy%20Challenge) to schedule a workshop.",,"Curriculum",,"Watersheds, Stormwater & Green Infrastructure"
"My Favorite River Critter","https://www.gscm.refloh2o.com/s/My-Favorite-Critter.pdf","1-3",,"10/activity","The main goal of the ""My Favorite River Critter"" activity is to get students to recognize that there are animals in the river that depend on clean water. The program can be completed indoors or outside on the school grounds and will take approximately 45-minutes to complete.
**Learning Outcomes:** Students will be able to recognize animals that live in the river. Students will be able to match a predator to its prey. Students will be able to describe what a river critter needs to survive.
This activity is best suited for classrooms that are located near a creek or river. Can be adapted for lakes.",,"Curriculum",,"Rivers"
"Nature’s Hidden Geometry","https://www.gscm.refloh2o.com/s/KDI-Lesson-Offerings-Reflo.pdf","3-8","[Darius Jordan](mailto:djordan@discoveryworld.org?subject=EcoLiteracy Challenge)","20/class","Nature uses patterns for building, decorating, and camouflage. Explore how geometric shapes and patterns in nature influence design. Visit [https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/](https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/) for more details.","free for qualifying schools","Classroom Presentation",,
"Nature’s Hidden Geometry","https://gscmreflo.squarespace.com/s/KDI-Lesson-Offerings-Reflo.pdf","3-8","[Darius Jordan](mailto:djordan@discoveryworld.org?subject=EcoLiteracy%20Challenge)","20/class","Nature uses patterns for building, decorating, and camouflage. Explore how geometric shapes and patterns in nature influence design. Visit [https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/](https://www.discoveryworld.org/learning/kohls-design-it-mobile-lab/) for more details.","free for qualifying schools","Classroom Presentation",,
"Next.cc Workshops","http://www.next.cc/page/workshops","6-12","[Linda Keane](mailto:lkeane@NEXT.cc)","50/workshop","Next.cc offers a wide variety of place based workshops for your classroom on topics such as water, design as nature, sustainability, smart grid challenges and biomimicry in design. Check out this example from [Escuela Verde](https://www.youtube.com/watch?v=IuyyR1iLjQE&list=UUGDWMOejZaoNuvUaRfnluZQ&index=4&nohtml5=False)!",,"Classroom Presentation","NAAEE, NGSS Primary (K-2), NGSS Elementary (3-5), NGSS Middle School, WI Art and Design Standards","Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"ROVe Pack","https://www.seagrant.wisc.edu/our-work/focus-areas/education/for-educators/rove-pack-a-grab-and-go-teaching-tool/","6-8",,"50/class","Middle-school students can experience the engineering process while learning about Great Lakes maritime history and underwater exploration with this loanable pack. ROVe (Remotely Operated Vehicles and Engineering) provides a rich learning experience. The ROVe Pack provides the lesson plan and equipment necessary for teachers to carry out the engineering design process with students as they build their own simple ROVs within a regular classroom while using common classroom supplies and a small children’s pool. [Borrow a pack](https://waterlibrary.aqua.wisc.edu/for-parents-and-teachers-and-librarians/request-rove-pack/) from the Wisconsin Water Library.",,"Curriculum","NGSS engineering principles","Lakes"
"Ravine Education Program","http://www.pdhp.org/ravines-project/","4-8",,"10/activity reported","Through guided observation and exploration, these lesson plans and classroom activities will enable your 4th-8th grade students to understand ravine and lakefront ecosystems prior to development, the plants and animals that historically used them as refuge, and the species that still depend on the lakefront today--including people!",,"Curriculum",,"Lakes, Watersheds, Conservation, Stormwater & Green Infrastructure, Water Cycle & Quality"
"Riveredge Nature Center School Programs","https://www.riveredgenaturecenter.org/schoolprograms/","K3-12",,"30/program","Whether in your classroom or in ours, Riveredge Nature Center has something for every class to study and explore the natural world around you. Our 380-acre natural sanctuary is the perfect place to study life that lives in ponds, rivers, prairies and forests during a school field trip. We also offer outreach programs led by Riveredge Environmental Educators that take place outdoors at your school or a nearby park. Visit [https://www.riveredgenaturecenter.org/schoolprograms/](https://www.riveredgenaturecenter.org/schoolprograms/) to learn more or apply for a program.",,"Field Trip",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Riveredge Nature Center School Programs","https://www.riveredgenaturecenter.org/schoolprograms/","K3-12",,"30/program","Whether in your classroom or in ours, Riveredge Nature Center has something for every class to study and explore the natural world around you. Our 380-acre natural sanctuary is the perfect place to study life that lives in ponds, rivers, prairies and forests during a school field trip. We also offer outreach programs led by Riveredge Environmental Educators that take place outdoors at your school or a nearby park. Visit [https://www.riveredgenaturecenter.org/schoolprograms/](https://www.riveredgenaturecenter.org/schoolprograms/) to learn more or apply for a program.",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Riveredge Nature Center School Programs","https://www.riveredgenaturecenter.org/schoolprograms/","K3-12",,"30/program","Whether in your classroom or in ours, Riveredge Nature Center has something for every class to study and explore the natural world around you. Our 380-acre natural sanctuary is the perfect place to study life that lives in ponds, rivers, prairies and forests during a school field trip. We also offer outreach programs led by Riveredge Environmental Educators that take place outdoors at your school or a nearby park. Visit [https://www.riveredgenaturecenter.org/schoolprograms/](https://www.riveredgenaturecenter.org/schoolprograms/) to learn more or apply for a program.",,"Field Trip",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Riveredge Nature Center School Programs","https://www.riveredgenaturecenter.org/schoolprograms/","K3-12",,"30/program","Whether in your classroom or in ours, Riveredge Nature Center has something for every class to study and explore the natural world around you. Our 380-acre natural sanctuary is the perfect place to study life that lives in ponds, rivers, prairies and forests during a school field trip. We also offer outreach programs led by Riveredge Environmental Educators that take place outdoors at your school or a nearby park. Visit [https://www.riveredgenaturecenter.org/schoolprograms/](https://www.riveredgenaturecenter.org/schoolprograms/) to learn more or apply for a program.",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Riverkeeper for a Day!","https://www.milwaukeeriverkeeper.org/connect/schools/","4-9","[Julius Gayo](mailto:julius@milwaukeeriverkeeper.org), Education Coordinator","20/activity","Milwaukee Riverkeeper provides free, in-classroom lessons and activities designed for students to interact with local rivers, use professional-grade testing equipment, and analyze live water samples without leaving school grounds. Students become scientists in their own classroom, leave with an understanding and appreciation for local freshwater resources, and exposure to STEM future careers. Most importantly, students will gain a better understanding of how they personally can affect our waterways and become environmental stewards. Visit [https://www.milwaukeeriverkeeper.org/connect/schools/](https://www.milwaukeeriverkeeper.org/connect/schools/) to learn more about these customizable programs.",,"Classroom Presentation",,"Rivers, Water Cycle & Quality"
"Riverkeeper for a Day!","https://www.milwaukeeriverkeeper.org/connect/schools/","4-9","[Julius Gayo](mailto:julius@milwaukeeriverkeeper.org), Education Coordinator","20/activity","Milwaukee Riverkeeper provides free, in-classroom lessons and activities designed for students to interact with local rivers, use professional-grade testing equipment, and analyze live water samples without leaving school grounds. Students become scientists in their own classroom, leave with an understanding and appreciation for local freshwater resources, and exposure to STEM future careers. Most importantly, students will gain a better understanding of how they personally can affect our waterways and become environmental stewards. Visit [https://www.milwaukeeriverkeeper.org/connect/schools/](https://www.milwaukeeriverkeeper.org/connect/schools/) to learn more about these customizable programs.",,"Classroom Presentation",,"Rivers, Water Cycle & Quality"
"STEM Kits","https://waterlibrary.aqua.wisc.edu/for-parents-and-teachers-and-librarians/our-stem-kits/","PreK-2",,"20/kit","Borrow a STEM Kit from the Wisconsin Water Library! These kits enhance the traditional children’s library or school storytime with a water science topic and an introduction to the essentials of the scientific method: observation, hypothesis formation, testing, more observation, recording and conclusion-building. Included in each kit are a topical “science chat,” read-aloud books, a science experiment or activity, songs and craft ideas. Choose from [Jump Around with Frogs](https://waterlibrary.aqua.wisc.edu/for-parents-and-teachers-and-librarians/our-stem-kits/jump-around-with-frogs-stem-kit/), [Does it Sink or Float](https://waterlibrary.aqua.wisc.edu/for-parents-and-teachers-and-librarians/our-stem-kits/does-it-sink-or-float/), and [Once a Pond a Time](https://waterlibrary.aqua.wisc.edu/for-parents-and-teachers-and-librarians/our-stem-kits/once-a-pond-a-time/).",,"Curriculum",,
"STEMhero -- Personal Water & Energy Data Inquiry ","https://stemhero.com/teachers/#why-stemhero","5-9","[Nathan Conroy](mailto:nate@stemhero.com?subject=EcoLiteracy Challenge)","50/class","STEMhero is an award winning [curriculum enhancement and professional development](/s/STEMhero-Teacher-Pack-Nathan-Conroy.pdf). It is aligned with NGSS and CCSS—born in Milwaukee and now serving teachers around the country.","Sponsored locally by MKE Plays (limited sponsored licenses available)","Curriculum","NGSS and CCSS","Conservation"
"STEMward: Sailing Into Schools","http://sailingcenter.org/stem_information_for_schools.php","3-12","[Teresa Coronado](mailto:teresa@sailingcenter.org?subject=EcoLiteracy%20Challenge); 414-277-9094","10/activity","Milwaukee Community Sailing Center uses sailing to engage student in hands-on STEM learning. In the classroom: students explore the concepts of buoyancy, hull and sail shape, aerodynamics, water displacement. Next, students apply classroom lessons doing sailing fieldwork directly on Lake Michigan with MCSC sailing instructors. Students will also build model sailboats, using recycled materials, and test them. Fieldwork available April-October. The fieldwork takes place at the MCSC campus on Lake Michigan. Method of transportation is organized by schools; payment of transportation can be negotiated. For the range of resources available see: [http://sailingcenter.org/stem\_program.php](http://sailingcenter.org/stem_program.php)",,"Field Trip",,"Lakes"
"STEMward: Sailing Into Schools","http://sailingcenter.org/stem_information_for_schools.php","3-12","[Teresa Coronado](mailto:teresa@sailingcenter.org?subject=EcoLiteracy Challenge); 414-277-9094","10/activity","Milwaukee Community Sailing Center uses sailing to engage student in hands-on STEM learning. In the classroom: students explore the concepts of buoyancy, hull and sail shape, aerodynamics, water displacement. Next, students apply classroom lessons doing sailing fieldwork directly on Lake Michigan with MCSC sailing instructors. Students will also build model sailboats, using recycled materials, and test them. Fieldwork available April-October. The fieldwork takes place at the MCSC campus on Lake Michigan. Method of transportation is organized by schools; payment of transportation can be negotiated. For the range of resources available see: [http://sailingcenter.org/stem\_program.php](http://sailingcenter.org/stem_program.php)",,"Classroom Presentation",,"Lakes"
"STEMward: Sailing Into Schools","http://sailingcenter.org/stem_information_for_schools.php","3-12","[Teresa Coronado](mailto:teresa@sailingcenter.org?subject=EcoLiteracy%20Challenge); 414-277-9094","10/activity","Milwaukee Community Sailing Center uses sailing to engage student in hands-on STEM learning. In the classroom: students explore the concepts of buoyancy, hull and sail shape, aerodynamics, water displacement. Next, students apply classroom lessons doing sailing fieldwork directly on Lake Michigan with MCSC sailing instructors. Students will also build model sailboats, using recycled materials, and test them. Fieldwork available April-October. The fieldwork takes place at the MCSC campus on Lake Michigan. Method of transportation is organized by schools; payment of transportation can be negotiated. For the range of resources available see: [http://sailingcenter.org/stem\_program.php](http://sailingcenter.org/stem_program.php)",,"Field Trip",,"Lakes"
"STEMward: Sailing Into Schools","http://sailingcenter.org/stem_information_for_schools.php","3-12","[Teresa Coronado](mailto:teresa@sailingcenter.org?subject=EcoLiteracy Challenge); 414-277-9094","10/activity","Milwaukee Community Sailing Center uses sailing to engage student in hands-on STEM learning. In the classroom: students explore the concepts of buoyancy, hull and sail shape, aerodynamics, water displacement. Next, students apply classroom lessons doing sailing fieldwork directly on Lake Michigan with MCSC sailing instructors. Students will also build model sailboats, using recycled materials, and test them. Fieldwork available April-October. The fieldwork takes place at the MCSC campus on Lake Michigan. Method of transportation is organized by schools; payment of transportation can be negotiated. For the range of resources available see: [http://sailingcenter.org/stem\_program.php](http://sailingcenter.org/stem_program.php)",,"Classroom Presentation",,"Lakes"
"Schoolyard Redevelopment Project","https://refloh2o.com/schoolyard-redevelopment-projects-1","PreK-12","[Lisa Neeb](mailto:lisa.neeb@refloh2o.com), Green & Healthy Schools Project Manager","1000/year","Reflo works with five Milwaukee-area schools per year in an intensive, collaborative process to design greener, healthier schoolyards. Each project is tailored to the specific needs and enthusiasm of the school’s community but often involves replacing seas of asphalt with green spaces including bioswales, rain gardens, and trees. The placemaking designs go beyond simply removing pavement, however, to maximize triple-bottom-line benefits. Earn points for each phase of the redevelopment process.",,"School Initiative",,"Stormwater & Green Infrastructure"
"Sewershed Mapping Activity","https://refloh2o.com/sewershed-mapping-activity","7-12","[Lisa Neeb](mailto:lisa.neeb@refloh2o.com), Green & Healthy Schools Project Manager","50/group map","The benefits of green infrastructure extend beyond stormwater management. The planning effort to support green infrastructure installation near schoolyards itself can involve students, teachers, and community members. In this activity, students conduct a sewershed assessment to document the potential pollution sources within a school’s sewershed, map the boundaries of the sewershed, and gather information to estimate the size of conceptual green infrastructure that may be possible to help manage the stormwater that falls on the site. This information is then integrated with Google Earth to create a map and visual story of the site’s water quality, quantity and opportunity to manage stormwater more effectively.",,"Curriculum",,"Watersheds, Stormwater & Green Infrastructure"
